Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00001_001,SE_A14006_001
"36047009400","14000US36047009400","Census Tract 94","Census Tract 94, Kings County, New York","ny","140","00","ACSSF","0004555",,,,,"36","047",,,,"009400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5066,51042
"36047009600","14000US36047009600","Census Tract 96","Census Tract 96, Kings County, New York","ny","140","00","ACSSF","0004556",,,,,"36","047",,,,"009600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6079,44671
"36047009800","14000US36047009800","Census Tract 98","Census Tract 98, Kings County, New York","ny","140","00","ACSSF","0004557",,,,,"36","047",,,,"009800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6479,46250
"36047010000","14000US36047010000","Census Tract 100","Census Tract 100, Kings County, New York","ny","140","00","ACSSF","0004558",,,,,"36","047",,,,"010000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6035,56512
"36047010100","14000US36047010100","Census Tract 101","Census Tract 101, Kings County, New York","ny","140","00","ACSSF","0004559",,,,,"36","047",,,,"010100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4001,75707
"36047010200","14000US36047010200","Census Tract 102","Census Tract 102, Kings County, New York","ny","140","00","ACSSF","0004560",,,,,"36","047",,,,"010200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4698,56082
"36047010400","14000US36047010400","Census Tract 104","Census Tract 104, Kings County, New York","ny","140","00","ACSSF","0004561",,,,,"36","047",,,,"010400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4805,44288
"36047010600","14000US36047010600","Census Tract 106","Census Tract 106, Kings County, New York","ny","140","00","ACSSF","0004562",,,,,"36","047",,,,"010600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4417,49702
"36047010800","14000US36047010800","Census Tract 108","Census Tract 108, Kings County, New York","ny","140","00","ACSSF","0004563",,,,,"36","047",,,,"010800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3866,45082
"36047011000","14000US36047011000","Census Tract 110","Census Tract 110, Kings County, New York","ny","140","00","ACSSF","0004564",,,,,"36","047",,,,"011000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2662,61042
