,Site Number,Parameter Code,Parameter Name,POC,Latitude,Longitude,Datum,Last Sample Date,Reporting Agency,PQAO,Collecting Agency,Monitoring Objective,Measurement Scale,Measurement Scale Definition,Local Site Name,Address,City Name,Extraction Date
216172,124,44201,Ozone,1,40.73614,-73.82153000000001,WGS84,2020-09-30,New York State Department Of Environmental Conservation,New York State Department Of Environmental Conservation,New York State Department Of Environmental Conservation,GENERAL/BACKGROUND,URBAN SCALE,4 KM TO 50 KM,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,New York,2020-11-24
216264,124,88101,PM2.5 - Local Conditions,1,40.73614,-73.82153000000001,WGS84,2020-08-28,New York State Department Of Environmental Conservation,New York State Department Of Environmental Conservation,New York State Department Of Environmental Conservation,POPULATION EXPOSURE,NEIGHBORHOOD,500 M TO 4KM,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,New York,2020-11-24
216265,124,88101,PM2.5 - Local Conditions,4,40.73614,-73.82153000000001,WGS84,2020-09-30,New York State Department Of Environmental Conservation,New York State Department Of Environmental Conservation,New York State Department Of Environmental Conservation,GENERAL/BACKGROUND,NEIGHBORHOOD,500 M TO 4KM,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,New York,2020-11-24
216364,125,42602,Nitrogen dioxide (NO2),1,40.739264,-73.81769399999999,NAD83,2020-09-30,New York State Department Of Environmental Conservation,New York State Department Of Environmental Conservation,New York State Department Of Environmental Conservation,SOURCE ORIENTED,MIDDLE SCALE,100 M TO 500 M,Queens College Near Road,"I-495, H Harding Expwy and 153rd St",New York,2020-11-24
216389,125,88101,PM2.5 - Local Conditions,1,40.739264,-73.81769399999999,NAD83,2020-08-28,New York State Department Of Environmental Conservation,New York State Department Of Environmental Conservation,New York State Department Of Environmental Conservation,SOURCE ORIENTED,NEIGHBORHOOD,500 M TO 4KM,Queens College Near Road,"I-495, H Harding Expwy and 153rd St",New York,2020-11-24
216826,55,88101,PM2.5 - Local Conditions,1,40.633070000000004,-74.13719,WGS84,2020-07-29,New York State Department Of Environmental Conservation,New York State Department Of Environmental Conservation,New York State Department Of Environmental Conservation,POPULATION EXPOSURE,NEIGHBORHOOD,500 M TO 4KM,RICHMOND POST OFFICE,"POST OFFICE, 364 PORT RICHMOND AVE.",New York,2020-11-24
216895,67,42602,Nitrogen dioxide (NO2),1,40.59664,-74.12525,WGS84,1980-10-05,,,,UNKNOWN,,,SUSAN WAGNER HS,"SUSAN WAGNER HS,   1200 MANOR RD, near Brielle Ave",New York,2020-11-24
216896,67,42602,Nitrogen dioxide (NO2),2,40.59664,-74.12525,WGS84,1977-09-30,,,,UNKNOWN,,,SUSAN WAGNER HS,"SUSAN WAGNER HS,   1200 MANOR RD, near Brielle Ave",New York,2020-11-24
216909,67,44201,Ozone,1,40.59664,-74.12525,WGS84,2017-11-17,New York State Department Of Environmental Conservation,New York State Department Of Environmental Conservation,,POPULATION EXPOSURE; UNKNOWN,URBAN SCALE,4 KM TO 50 KM,SUSAN WAGNER HS,"SUSAN WAGNER HS,   1200 MANOR RD, near Brielle Ave",New York,2020-11-24
216910,67,44201,Ozone,2,40.59664,-74.12525,WGS84,,,,,UNKNOWN,,,SUSAN WAGNER HS,"SUSAN WAGNER HS,   1200 MANOR RD, near Brielle Ave",New York,2020-11-24
216911,67,44201,Ozone,3,40.59664,-74.12525,WGS84,1977-06-30,,,,UNKNOWN,,,SUSAN WAGNER HS,"SUSAN WAGNER HS,   1200 MANOR RD, near Brielle Ave",New York,2020-11-24
216951,67,88101,PM2.5 - Local Conditions,1,40.59664,-74.12525,WGS84,2011-12-29,New York State Department Of Environmental Conservation,New York State Department Of Environmental Conservation,New York State Department Of Environmental Conservation,POPULATION EXPOSURE,,,SUSAN WAGNER HS,"SUSAN WAGNER HS,   1200 MANOR RD, near Brielle Ave",New York,2020-11-24
217500,111,44201,Ozone,2,40.58027,-74.19832,WGS84,2020-09-30,New York State Department Of Environmental Conservation,New York State Department Of Environmental Conservation,New York State Department Of Environmental Conservation,GENERAL/BACKGROUND,NEIGHBORHOOD,500 M TO 4KM,FRESHKILLS WEST,FRESHKILLS WEST   310 West Service Road,New York,2020-11-24
