,index,County Code,Site Num,Parameter Code,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Date Local,Units of Measure,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI,Local Site Name,Address,County Name
20,1703054,5,133,42401,40.8679,-73.87809,WGS84,Sulfur dioxide,1 HOUR,2011-01-06,Parts per billion,24,100.0,11.116667,18.9,8,26.0,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,Bronx
21,1703419,5,133,42401,40.8679,-73.87809,WGS84,Sulfur dioxide,3-HR BLK AVG,2011-01-06,Parts per billion,8,100.0,11.1,15.9,8,,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,Bronx
22,1715548,81,124,42401,40.73614,-73.82153000000001,WGS84,Sulfur dioxide,1 HOUR,2011-01-06,Parts per billion,24,100.0,9.2,13.2,20,19.0,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
23,1715912,81,124,42401,40.73614,-73.82153000000001,WGS84,Sulfur dioxide,3-HR BLK AVG,2011-01-06,Parts per billion,8,100.0,9.1625,11.7,8,,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
24,1703055,5,133,42401,40.8679,-73.87809,WGS84,Sulfur dioxide,1 HOUR,2011-01-07,Parts per billion,24,100.0,11.8,21.4,21,30.0,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,Bronx
25,1715913,81,124,42401,40.73614,-73.82153000000001,WGS84,Sulfur dioxide,3-HR BLK AVG,2011-01-07,Parts per billion,8,100.0,7.925000000000002,12.3,2,,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
26,1715549,81,124,42401,40.73614,-73.82153000000001,WGS84,Sulfur dioxide,1 HOUR,2011-01-07,Parts per billion,24,100.0,7.970833,13.6,0,19.0,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
27,1703420,5,133,42401,40.8679,-73.87809,WGS84,Sulfur dioxide,3-HR BLK AVG,2011-01-07,Parts per billion,8,100.0,11.7625,19.9,23,,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,Bronx
28,1703056,5,133,42401,40.8679,-73.87809,WGS84,Sulfur dioxide,1 HOUR,2011-01-08,Parts per billion,24,100.0,15.904167000000001,26.9,8,37.0,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,Bronx
29,1703421,5,133,42401,40.8679,-73.87809,WGS84,Sulfur dioxide,3-HR BLK AVG,2011-01-08,Parts per billion,8,100.0,15.8625,26.4,8,,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,Bronx
30,1715550,81,124,42401,40.73614,-73.82153000000001,WGS84,Sulfur dioxide,1 HOUR,2011-01-08,Parts per billion,24,100.0,8.512500000000001,12.3,13,17.0,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
31,1715914,81,124,42401,40.73614,-73.82153000000001,WGS84,Sulfur dioxide,3-HR BLK AVG,2011-01-08,Parts per billion,8,100.0,8.4875,11.0,14,,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
32,1703057,5,133,42401,40.8679,-73.87809,WGS84,Sulfur dioxide,1 HOUR,2011-01-09,Parts per billion,24,100.0,8.1875,10.2,7,14.0,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,Bronx
33,1715915,81,124,42401,40.73614,-73.82153000000001,WGS84,Sulfur dioxide,3-HR BLK AVG,2011-01-09,Parts per billion,8,100.0,2.5875,5.3,8,,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
34,1703422,5,133,42401,40.8679,-73.87809,WGS84,Sulfur dioxide,3-HR BLK AVG,2011-01-09,Parts per billion,8,100.0,8.15,9.5,8,,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,Bronx
35,1715551,81,124,42401,40.73614,-73.82153000000001,WGS84,Sulfur dioxide,1 HOUR,2011-01-09,Parts per billion,24,100.0,2.604167,7.7,7,10.0,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
36,1715916,81,124,42401,40.73614,-73.82153000000001,WGS84,Sulfur dioxide,3-HR BLK AVG,2011-01-10,Parts per billion,8,100.0,5.3125,7.3,11,,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
37,1715552,81,124,42401,40.73614,-73.82153000000001,WGS84,Sulfur dioxide,1 HOUR,2011-01-10,Parts per billion,24,100.0,5.341667,11.7,21,16.0,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
38,1703058,5,133,42401,40.8679,-73.87809,WGS84,Sulfur dioxide,1 HOUR,2011-01-10,Parts per billion,19,79.0,10.157895,16.4,17,23.0,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,Bronx
39,1703423,5,133,42401,40.8679,-73.87809,WGS84,Sulfur dioxide,3-HR BLK AVG,2011-01-10,Parts per billion,6,75.0,10.233333,14.8,20,,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,Bronx
40,1715553,81,124,42401,40.73614,-73.82153000000001,WGS84,Sulfur dioxide,1 HOUR,2011-01-11,Parts per billion,24,100.0,4.366667,8.0,6,11.0,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
41,1715917,81,124,42401,40.73614,-73.82153000000001,WGS84,Sulfur dioxide,3-HR BLK AVG,2011-01-11,Parts per billion,8,100.0,4.3375,6.9,5,,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
42,1703424,5,133,42401,40.8679,-73.87809,WGS84,Sulfur dioxide,3-HR BLK AVG,2011-01-11,Parts per billion,8,100.0,6.9375,10.7,5,,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,Bronx
43,1703059,5,133,42401,40.8679,-73.87809,WGS84,Sulfur dioxide,1 HOUR,2011-01-11,Parts per billion,24,100.0,6.966666999999998,11.9,5,16.0,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,Bronx
44,1715554,81,124,42401,40.73614,-73.82153000000001,WGS84,Sulfur dioxide,1 HOUR,2011-01-12,Parts per billion,24,100.0,7.358333,14.1,7,20.0,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
45,1715918,81,124,42401,40.73614,-73.82153000000001,WGS84,Sulfur dioxide,3-HR BLK AVG,2011-01-12,Parts per billion,8,100.0,7.325,12.4,11,,QUEENS COLLEGE 2,Queens College   65-30 Kissena Blvd  Parking Lot#6,Queens
46,1703060,5,133,42401,40.8679,-73.87809,WGS84,Sulfur dioxide,1 HOUR,2011-01-12,Parts per billion,24,100.0,10.645833,15.8,6,21.0,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,Bronx
47,1703425,5,133,42401,40.8679,-73.87809,WGS84,Sulfur dioxide,3-HR BLK AVG,2011-01-12,Parts per billion,8,100.0,10.625,14.3,8,,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,Bronx
